cons_model,mut_model,chrom,Ne,ll
merged_cds_phastcons,roulette,5,32876.953125,-25580747702.748646
merged_cds_phastcons,roulette,6,35296.875,-24842222651.948555
merged_cds_phastcons,roulette,7,33338.37890625,-21864523226.410637
merged_cds_phastcons,roulette,8,32228.02734375,-22054340789.455
merged_cds_phastcons,roulette,9,33199.21875,-16473407693.325886
merged_cds_phastcons,roulette,10,33714.84375,-19275168781.03506
merged_cds_phastcons,roulette,11,33843.75,-18994054993.09113
merged_cds_phastcons,roulette,12,32906.25,-17841293542.0888
merged_cds_phastcons,roulette,13,31283.203125,-14541679408.551409
merged_cds_phastcons,roulette,14,32441.89453125,-12378552355.894545
merged_cds_phastcons,roulette,15,34576.171875,-11027184377.766891
merged_cds_phastcons,roulette,16,31054.6875,-11495582583.452213
merged_cds_phastcons,roulette,17,31913.0859375,-9517439406.194304
merged_cds_phastcons,roulette,18,31869.140625,-11386641463.807535
merged_cds_phastcons,roulette,19,31631.8359375,-6964155928.491852
merged_cds_phastcons,roulette,20,32478.515625,-8753533483.297579
merged_cds_phastcons,roulette,21,32748.046875,-5483564425.093319
merged_cds_phastcons,roulette,22,32666.015625,-4735882764.764767
merged_cds_phastcons,gnomad,1,35021.484375,-29693949403.511932
merged_cds_phastcons,gnomad,2,34130.859375,-33070692633.220886
merged_cds_phastcons,gnomad,3,36093.75,-28229974147.728374
merged_cds_phastcons,gnomad,4,34916.015625,-28587916654.905586
merged_cds_phastcons,gnomad,5,35103.515625,-25615467179.20869
merged_cds_phastcons,gnomad,6,37037.109375,-24858314107.912964
merged_cds_phastcons,gnomad,7,35513.671875,-21904626549.182755
merged_cds_phastcons,gnomad,8,36638.671875,-22122065000.050335
merged_cds_phastcons,gnomad,9,36457.03125,-16503506119.149166
merged_cds_phastcons,gnomad,10,35490.234375,-19290739931.40953
merged_cds_phastcons,gnomad,11,36070.3125,-19007856185.728394
merged_cds_phastcons,gnomad,12,34218.75,-17859604187.421894
merged_cds_phastcons,gnomad,13,33019.04296875,-14550866073.731327
merged_cds_phastcons,gnomad,14,33937.5,-12394238642.829828
merged_cds_phastcons,gnomad,15,36357.421875,-11039954811.460869
merged_cds_phastcons,gnomad,16,36169.921875,-11544230936.3531
merged_cds_phastcons,gnomad,17,32431.640625,-9533409454.900158
merged_cds_phastcons,gnomad,18,33451.171875,-11394442097.408377
merged_cds_phastcons,gnomad,19,31860.3515625,-6986502192.196751
merged_cds_phastcons,gnomad,20,33515.625,-8764300954.626364
merged_cds_phastcons,gnomad,21,34623.046875,-5488870396.91679
merged_cds_phastcons,gnomad,22,33656.25,-4742292888.425409
merged_cds_phastcons,carlson,1,28211.42578125,-27559121700.385017
merged_cds_phastcons,carlson,2,26821.2890625,-30764232562.39472
merged_cds_phastcons,carlson,3,28015.13671875,-25983582393.824474
merged_cds_phastcons,carlson,4,26408.203125,-26662799361.887596
merged_cds_phastcons,carlson,5,27187.5,-23699053436.69043
merged_cds_phastcons,carlson,6,29200.1953125,-22539600212.300743
merged_cds_phastcons,carlson,7,27829.1015625,-19621201679.629166
merged_cds_phastcons,carlson,8,28019.53125,-19716982222.95632
merged_cds_phastcons,carlson,9,28441.40625,-14232084318.390705
merged_cds_phastcons,carlson,10,28658.203125,-17063575065.617466
merged_cds_phastcons,carlson,11,28593.75,-17120957687.54094
merged_cds_phastcons,carlson,12,27392.578125,-15934872944.467472
merged_cds_phastcons,carlson,13,24873.046875,-12703504976.01991
merged_cds_phastcons,carlson,14,26138.671875,-10565455299.974092
merged_cds_phastcons,carlson,15,29291.015625,-9460892392.152452
merged_cds_phastcons,carlson,16,29244.140625,-9550992459.928024
merged_cds_phastcons,carlson,17,26947.265625,-7724125359.621642
merged_cds_phastcons,carlson,18,25763.671875,-9502394793.725395
merged_cds_phastcons,carlson,19,28306.640625,-4759414865.050799
merged_cds_phastcons,carlson,20,27134.765625,-6953225920.227628
merged_cds_phastcons,carlson,21,26724.609375,-3877529850.171599
merged_cds_phastcons,carlson,22,29250.0,-3129610733.9491415
split_cds_phastcons,roulette,1,34851.5625,-29661367783.44425
split_cds_phastcons,roulette,2,33134.765625,-33025815426.450806
split_cds_phastcons,roulette,3,34816.40625,-28188968035.67273
split_cds_phastcons,roulette,4,33539.0625,-28559659886.78303
