chrom,mut_model,elem_type,U
3,roulette,cds_lof_d7,0.0020343015192500003
3,roulette,cds_lof_d8,0.0018605974642499998
3,roulette,cds_lof_d9,0.0018643065787500002
3,roulette,cds_lof_d10,0.0032278136499298686
3,roulette,cds_lof_d11,0.000499596804
3,roulette,phastcons_0-5,0.060191507313963895
3,roulette,phastcons_5-10,0.05347280132092247
3,roulette,phastcons_10-15,0.04585750652943733
3,roulette,phastcons_15-20,0.043193807351508254
3,roulette,phastcons_20-25,0.04235882734260642
3,roulette,phastcons_25-30,0.04319306218836981
3,roulette,phastcons_30-35,0.042613265467171736
3,roulette,phastcons_35-40,0.04538766930866536
3,roulette,phastcons_40-45,0.0459419516695646
3,roulette,phastcons_45-50,0.044484439503203486
3,roulette,phastcons_50-55,0.051267170004984174
3,roulette,phastcons_55-60,0.04572232364629971
4,carlson,cds_merged,0.02180405989952921
4,carlson,promoters,0.016496862383595164
4,carlson,enhancers,0.19487003889429105
4,carlson,cds_lof_d1,0.0021654569400568475
4,carlson,cds_lof_d2,0.0027647437257556588
4,carlson,cds_lof_d3,0.0030749804777740744
4,carlson,cds_lof_d4,0.0022773763455123984
4,carlson,cds_lof_d5,0.0019180280206524854
4,carlson,cds_lof_d6,0.0017971684955598577
4,carlson,cds_lof_d7,0.0016704319231619208
4,carlson,cds_lof_d8,0.0016855010548142253
4,carlson,cds_lof_d9,0.0015464041684273865
4,carlson,cds_lof_d10,0.0023679758784122457
4,carlson,cds_lof_d11,0.0005917304655653328
4,carlson,phastcons_0-5,0.049758871937029304
4,carlson,phastcons_5-10,0.048088428323942514
4,carlson,phastcons_10-15,0.0430715245405509
4,carlson,phastcons_15-20,0.04151276269953582
4,carlson,phastcons_20-25,0.04162848547413891
4,carlson,phastcons_25-30,0.042946509487760125
4,carlson,phastcons_30-35,0.04277486259672683
4,carlson,phastcons_35-40,0.04595752481762328
4,carlson,phastcons_40-45,0.04688369061869063
4,carlson,phastcons_45-50,0.04549187101160698
4,carlson,phastcons_50-55,0.05278475278568665
4,carlson,phastcons_55-60,0.04728750503406116
4,gnomad,cds_merged,0.019355109608944845
4,gnomad,promoters,0.016653821543624707
4,gnomad,enhancers,0.14761414426078062
4,gnomad,cds_lof_d1,0.001919246515996068
4,gnomad,cds_lof_d2,0.00239645605675
4,gnomad,cds_lof_d3,0.0028501845250394797
4,gnomad,cds_lof_d4,0.0020305802755
4,gnomad,cds_lof_d5,0.0016434390048550417
4,gnomad,cds_lof_d6,0.00158138537725
4,gnomad,cds_lof_d7,0.0014765302401904352
4,gnomad,cds_lof_d8,0.0014477415289927459
4,gnomad,cds_lof_d9,0.00138804909075
4,gnomad,cds_lof_d10,0.00212258682825
4,gnomad,cds_lof_d11,0.000558905546971918
4,gnomad,phastcons_0-5,0.03798733858114589
4,gnomad,phastcons_5-10,0.03659819311822238
4,gnomad,phastcons_10-15,0.03270016602200654
4,gnomad,phastcons_15-20,0.031492936096336764
4,gnomad,phastcons_20-25,0.03154620744870261
4,gnomad,phastcons_25-30,0.032560971147665055
4,gnomad,phastcons_30-35,0.03240793314414622
4,gnomad,phastcons_35-40,0.03482259504699151
4,gnomad,phastcons_40-45,0.03552719264928471
4,gnomad,phastcons_45-50,0.03448383175001798
4,gnomad,phastcons_50-55,0.04002395054130763
4,gnomad,phastcons_55-60,0.03587302824289887
4,roulette,cds_merged,0.018318570988333862
4,roulette,promoters,0.012162253106598698
4,roulette,enhancers,0.1523108854684364
4,roulette,cds_lof_d1,0.0018108710017758847
4,roulette,cds_lof_d2,0.00226436720475
4,roulette,cds_lof_d3,0.00264878141673738
4,roulette,cds_lof_d4,0.001931549466
4,roulette,cds_lof_d5,0.00153846810049966
4,roulette,cds_lof_d6,0.0014854966525
4,roulette,cds_lof_d7,0.001391843865270941
4,roulette,cds_lof_d8,0.001381544431150213
4,roulette,cds_lof_d9,0.001321065739
4,roulette,cds_lof_d10,0.00208261511325
4,roulette,cds_lof_d11,0.0005132000131013776
4,roulette,phastcons_0-5,0.03725938088211034
4,roulette,phastcons_5-10,0.036232348983308814
4,roulette,phastcons_10-15,0.032654394502446414
4,roulette,phastcons_15-20,0.031616447299540114
4,roulette,phastcons_20-25,0.03178504305721717
4,roulette,phastcons_25-30,0.03287877020249339
4,roulette,phastcons_30-35,0.032831462977371564
4,roulette,phastcons_35-40,0.03535151781576313
4,roulette,phastcons_40-45,0.036152618271977494
4,roulette,phastcons_45-50,0.035191014507701464
4,roulette,phastcons_50-55,0.040941988063279484
4,roulette,phastcons_55-60,0.03678941791700589
5,carlson,cds_merged,0.025681003957722038
5,carlson,promoters,0.020860741277380534
5,carlson,enhancers,0.20986633130461946
5,carlson,cds_lof_d1,0.003260655168558283
5,carlson,cds_lof_d2,0.0039174394530348275
5,carlson,cds_lof_d3,0.0030170491079452655
5,carlson,cds_lof_d4,0.002563403507057555
5,carlson,cds_lof_d5,0.0024995535540939143
5,carlson,cds_lof_d6,0.0023145572277437185
5,carlson,cds_lof_d7,0.001387140521835844
5,carlson,cds_lof_d8,0.002170678110396688
5,carlson,cds_lof_d9,0.0025899588566833946
5,carlson,cds_lof_d10,0.001677741982059987
5,carlson,cds_lof_d11,0.0005636184074887622
5,carlson,phastcons_0-5,0.07089533516609359
5,carlson,phastcons_5-10,0.05801150280148959
5,carlson,phastcons_10-15,0.049214919481441695
5,carlson,phastcons_15-20,0.046233968340477855
5,carlson,phastcons_20-25,0.045536129010370734
5,carlson,phastcons_25-30,0.04652378328754885
5,carlson,phastcons_30-35,0.04572007454294591
5,carlson,phastcons_35-40,0.04879202840759494
5,carlson,phastcons_40-45,0.04940055637645353
5,carlson,phastcons_45-50,0.047633513162251354
5,carlson,phastcons_50-55,0.054756862947525985
5,carlson,phastcons_55-60,0.048839089241025126
5,gnomad,cds_merged,0.02387440463233769
5,gnomad,promoters,0.02142029046675
5,gnomad,enhancers,0.16246962533825673
5,gnomad,cds_lof_d1,0.0029586666375
5,gnomad,cds_lof_d2,0.00368826584175
5,gnomad,cds_lof_d3,0.0027707844535
5,gnomad,cds_lof_d4,0.0024295099885
5,gnomad,cds_lof_d5,0.0022995089915
5,gnomad,cds_lof_d6,0.002027925225246219
5,gnomad,cds_lof_d7,0.0013358479538841457
5,gnomad,cds_lof_d8,0.0019932591670037
5,gnomad,cds_lof_d9,0.0025155733102500003
5,gnomad,cds_lof_d10,0.0015622556788190947
5,gnomad,cds_lof_d11,0.0005419016664386043
5,gnomad,phastcons_0-5,0.05541042763982514
5,gnomad,phastcons_5-10,0.04508508266748004
5,gnomad,phastcons_10-15,0.03812667482340604
5,gnomad,phastcons_15-20,0.03575525798589709
5,gnomad,phastcons_20-25,0.03520971388962701
5,gnomad,phastcons_25-30,0.035953250642775866
5,gnomad,phastcons_30-35,0.035344945344244455
5,gnomad,phastcons_35-40,0.03770263133902399
5,gnomad,phastcons_40-45,0.038186426577507135
5,gnomad,phastcons_45-50,0.0368351653512397
5,gnomad,phastcons_50-55,0.04237693939192485
5,gnomad,phastcons_55-60,0.037818829801560046
5,roulette,cds_merged,0.02168866406289878
5,roulette,promoters,0.015548809664500002
5,roulette,enhancers,0.16669398490640638
5,roulette,cds_lof_d1,0.00275406369875
5,roulette,cds_lof_d2,0.003417349908
5,roulette,cds_lof_d3,0.0026074172599999997
5,roulette,cds_lof_d4,0.0022270796065000003
5,roulette,cds_lof_d5,0.002149403382
5,roulette,cds_lof_d6,0.0018592128139952614
5,roulette,cds_lof_d7,0.0011648556619735502
5,roulette,cds_lof_d8,0.0017832352771497567
5,roulette,cds_lof_d9,0.0019954632040000003
5,roulette,cds_lof_d10,0.001465466479218487
5,roulette,cds_lof_d11,0.0005070476968087456
5,roulette,phastcons_0-5,0.05431295465308577
5,roulette,phastcons_5-10,0.044663159732035045
5,roulette,phastcons_10-15,0.03805101520385069
5,roulette,phastcons_15-20,0.035843935132798835
5,roulette,phastcons_20-25,0.03539828916065325
5,roulette,phastcons_25-30,0.03622332963682508
5,roulette,phastcons_30-35,0.035681386030790914
5,roulette,phastcons_35-40,0.03814378060594497
5,roulette,phastcons_40-45,0.03869053106620612
5,roulette,phastcons_45-50,0.037386003764616905
5,roulette,phastcons_50-55,0.04308321737250059
5,roulette,phastcons_55-60,0.03850275907603652
6,carlson,cds_merged,0.027831858180476645
6,carlson,promoters,0.02488328716897581
6,carlson,enhancers,0.22680712400809896
6,carlson,cds_lof_d1,0.003062865002180861
6,carlson,cds_lof_d2,0.003498685332565228
6,carlson,cds_lof_d3,0.003872479009614775
6,carlson,cds_lof_d4,0.002951070647188367
6,carlson,cds_lof_d5,0.002632133316314082
6,carlson,cds_lof_d6,0.002531226031618424
6,carlson,cds_lof_d7,0.0017339976766540188
6,carlson,cds_lof_d8,0.002370345625201251
6,carlson,cds_lof_d9,0.002092079418882189
6,carlson,cds_lof_d10,0.0026997480310032005
6,carlson,cds_lof_d11,0.0005555405422857205
6,carlson,phastcons_0-5,0.06390951994691149
6,carlson,phastcons_5-10,0.05668033832758267
6,carlson,phastcons_10-15,0.049032971248237876
6,carlson,phastcons_15-20,0.04662698575527233
6,carlson,phastcons_20-25,0.04632537456800737
6,carlson,phastcons_25-30,0.04745027692272847
6,carlson,phastcons_30-35,0.04691508827953042
6,carlson,phastcons_35-40,0.05013012711865841
6,carlson,phastcons_40-45,0.05086218807990291
6,carlson,phastcons_45-50,0.04910487415689507
6,carlson,phastcons_50-55,0.05676221475124954
6,carlson,phastcons_55-60,0.050643963677842956
6,gnomad,cds_merged,0.025433501924872013
6,gnomad,promoters,0.024973510613245504
6,gnomad,enhancers,0.17743017260340127
6,gnomad,cds_lof_d1,0.0029352740339999997
6,gnomad,cds_lof_d2,0.00323401903475
6,gnomad,cds_lof_d3,0.003601083787
6,gnomad,cds_lof_d4,0.0025894699698441803
6,gnomad,cds_lof_d5,0.002451215591978978
6,gnomad,cds_lof_d6,0.0022850825536155804
6,gnomad,cds_lof_d7,0.0015905636282958254
6,gnomad,cds_lof_d8,0.002143950582836288
6,gnomad,cds_lof_d9,0.0018353492605212918
6,gnomad,cds_lof_d10,0.0022860765708089055
6,gnomad,cds_lof_d11,0.0006508268305
6,gnomad,phastcons_0-5,0.05012916071931534
6,gnomad,phastcons_5-10,0.04417104303129376
6,gnomad,phastcons_10-15,0.038072968903738506
6,gnomad,phastcons_15-20,0.036124020276782
6,gnomad,phastcons_20-25,0.03587115146241575
6,gnomad,phastcons_25-30,0.036736852380454654
